År;Månad;Dag;Timme;Temperatur;Effekt;Vind;Soltimmar
2016;10;25;20;6,246329364;18,69351589;1,6;0
2016;10;25;21;6,500343323;18,73572437;1,7;0
2016;10;25;22;6,707907221;17,76616358;1;0
2016;10;25;23;7,066791312;15,40263287;1,5;0
2016;10;26;0;6,874189377;14,46181321;1,5;0
2016;10;26;1;6,734509068;15,93602852;1,6;0
2016;10;26;2;6,432390243;20,43980578;1,7;0
2016;10;26;3;5,298635893;19,66735255;1,3;0
2016;10;26;4;3,905331953;21,6197025;0,6;0
2016;10;26;5;3,265125753;22,31728086;0;0
2016;10;26;6;2,914280779;24,42979283;0,8;0
2016;10;26;7;2,449989319;25,43355054;0;839
2016;10;26;8;2,460896698;24,91474237;2;334
2016;10;26;9;3,544573315;20,73022287;2,5;56
2016;10;26;10;5,774566781;18,10718537;2,3;695
2016;10;26;11;7,175866547;19,18401472;2;963
2016;10;26;12;7,558142365;20,22532542;2,2;3061
2016;10;26;13;8,103766041;18,49509553;1,4;2126
2016;10;26;14;8,348211288;17,01251876;1,3;0
2016;10;26;15;8,260997054;15,18036438;1,5;0
2016;10;26;16;8,348211288;15,60315342;2,1;0
2016;10;26;17;8,283075259;16,63728866;1,6;0
2016;10;26;18;7,966735298;17,12521355;2,4;0
2016;10;26;19;7,601587296;16,59294347;2,4;0
2016;10;26;20;7,924878135;16,15788852;1,6;0
2016;10;26;21;7,794598562;15,41511545;2;0
2016;10;26;22;8,136979649;14,48361204;2,6;0
2016;10;26;23;8,348211288;15,11462496;2,6;0
2016;10;27;0;8,348211288;14,83734193;2,3;0
2016;10;27;1;8,348211288;15,00822419;2,4;0
2016;10;27;2;8,661769588;15,39830569;2,5;0
2016;10;27;3;9,056298906;14,87993474;2,5;0
2016;10;27;4;9,075609207;15,88424214;2,7;0
2016;10;27;5;9,361204954;15,67868277;2,3;0
2016;10;27;6;10,02204024;16,53771616;3,2;0
2016;10;27;7;10,42114101;15,87234687;3;0
2016;10;27;8;10,90843374;15,32513775;2,5;0
2016;10;27;9;11,82702891;13,92846111;4,8;0
2016;10;27;10;12,64452771;12,6717408;3,8;0
2016;10;27;11;13,33996241;11,86142857;5,6;10
2016;10;27;12;14,03033478;10,92641811;3,6;389
2016;10;27;13;14,04905675;10,84255739;4;28
2016;10;27;14;14,11535411;10,68028543;3,3;0
2016;10;27;15;13,57193998;11,12011626;3,6;276
2016;10;27;16;13,34677083;11,32760465;3,9;0
2016;10;27;17;12,69018822;12,04206162;5,3;0
2016;10;27;18;12,07698222;12,3543273;3,3;0
2016;10;27;19;11,86262674;12,64325225;6,6;0
2016;10;27;20;11,67116737;12,06381573;4,3;0
2016;10;27;21;11,95527284;10,99680877;4;0
2016;10;27;22;12,29455883;10,96642629;4,3;0
2016;10;27;23;12,20019976;10,40175087;3,9;0
2016;10;28;0;12,20907937;9,213266152;4,4;0
2016;10;28;1;11,9065321;9,999706001;3,1;0
2016;10;28;2;11,67116737;12,44373135;3;0
2016;10;28;3;11,98613032;11,80038522;2,9;0
2016;10;28;4;12,6779617;11,19195719;2,4;0
2016;10;28;5;12,57060934;10,51165918;4,7;0
2016;10;28;6;12,60298165;12,10896602;5,7;0
2016;10;28;7;12,99675494;12,66685896;4,7;0
2016;10;28;8;13,1298235;13,29764365;5,3;0
2016;10;28;9;12,77241135;13,29861286;6,8;343
2016;10;28;10;12,66025862;12,11779506;7,9;1152
2016;10;28;11;13,39975832;12,0940621;7,3;98
2016;10;28;12;13,32698688;11,73794536;5,9;1824
2016;10;28;13;13,14625931;11,16533447;7;2930
2016;10;28;14;13,02534629;10,58001528;6,5;2544
2016;10;28;15;12,38728801;11,49145481;5,1;3091
2016;10;28;16;11,39521254;13,25592093;4,5;0
2016;10;28;17;10,12661484;15,09635365;4;0
2016;10;28;18;9,079556854;15,668626;3,8;0
2016;10;28;20;6,949963646;18,56316627;4;0
2016;10;28;21;6,874189377;20,75564456;3,9;0
2016;10;28;22;6,512960627;20,68970658;5,8;0
2016;10;28;23;6,500343323;17,01804635;5,1;0
2016;10;29;0;6,144400284;16,21108288;4;0
2016;10;29;1;5,944915771;16,74899371;4,7;0
2016;10;29;2;5,856865606;18,921864;4,3;0
2016;10;29;3;5,18480504;18,63345312;4,4;0
2016;10;29;4;4,374152361;19,25023837;6,8;0
2016;10;29;5;4,008850362;19,56922343;5,7;0
2016;10;29;6;4,525563659;20,31188889;6,3;0
2016;10;29;7;4,156474679;18,07876224;6,4;2207
